full_name,ref_name,degree
FE_DBTC130_priv_lvl_0,INV_X1,2
FE_DBTC129_icache_areq_cache_ex_37,INV_X1,2
FE_DBTC128_icache_areq_cache_ex_36,INV_X1,2
FE_DBTC127_icache_areq_cache_ex_34,INV_X1,2
FE_DBTC126_issue_entry_id_issue_282,INV_X2,2
FE_DBTC125_issue_entry_id_issue_281,INV_X1,2
FE_DBTC124_issue_entry_id_issue_280,INV_X2,2
FE_DBTC123_issue_entry_id_issue_279,INV_X1,2
FE_DBTC122_issue_entry_id_issue_276,INV_X2,2
FE_DBTC121_issue_entry_id_issue_275,INV_X2,2
FE_DBTC120_issue_entry_id_issue_274,INV_X1,2
FE_DBTC119_issue_entry_id_issue_273,INV_X1,2
FE_DBTC118_issue_entry_id_issue_272,INV_X1,2
FE_DBTC117_issue_entry_id_issue_270,INV_X1,2
FE_DBTC116_issue_entry_id_issue_269,INV_X1,2
FE_DBTC115_issue_entry_id_issue_268,INV_X1,2
FE_DBTC114_issue_entry_id_issue_267,INV_X1,2
FE_DBTC113_issue_entry_id_issue_266,INV_X1,2
FE_DBTC112_issue_entry_id_issue_232,INV_X1,2
FE_DBTC111_issue_entry_id_issue_231,INV_X1,2
FE_DBTC110_issue_entry_id_issue_230,INV_X1,2
FE_DBTC109_issue_entry_id_issue_229,INV_X1,2
FE_DBTC108_issue_entry_id_issue_228,INV_X1,2
FE_DBTC107_issue_entry_id_issue_227,INV_X1,2
FE_DBTC106_issue_entry_id_issue_226,INV_X1,2
FE_DBTC105_issue_entry_id_issue_225,INV_X1,2
FE_DBTC104_issue_entry_id_issue_224,INV_X1,2
FE_DBTC103_issue_entry_id_issue_223,INV_X1,2
FE_DBTC102_issue_entry_id_issue_222,INV_X1,2
FE_DBTC101_issue_entry_id_issue_221,INV_X1,2
FE_DBTC100_issue_entry_id_issue_220,INV_X1,2
FE_DBTC99_issue_entry_id_issue_219,INV_X1,2
FE_DBTC98_issue_entry_id_issue_218,INV_X1,2
FE_DBTC97_issue_entry_id_issue_217,INV_X1,2
FE_DBTC96_issue_entry_id_issue_216,INV_X1,2
FE_DBTC95_issue_entry_id_issue_215,INV_X1,2
FE_DBTC94_issue_entry_id_issue_214,INV_X1,2
FE_DBTC93_issue_entry_id_issue_213,INV_X1,2
FE_DBTC92_issue_entry_id_issue_212,INV_X1,2
FE_DBTC91_issue_entry_id_issue_211,INV_X1,2
FE_DBTC90_issue_entry_id_issue_210,INV_X1,2
FE_DBTC89_issue_entry_id_issue_209,INV_X1,2
FE_DBTC88_issue_entry_id_issue_208,INV_X1,2
FE_DBTC87_issue_entry_id_issue_207,INV_X1,2
FE_DBTC86_issue_entry_id_issue_206,INV_X1,2
FE_DBTC85_issue_entry_id_issue_205,INV_X1,2
FE_DBTC84_issue_entry_id_issue_204,INV_X1,2
FE_DBTC83_issue_entry_id_issue_203,INV_X1,2
FE_DBTC82_issue_entry_id_issue_202,INV_X1,2
FE_DBTC81_resolved_branch_7,INV_X1,2
FE_DBTC80_resolved_branch_6,INV_X1,2
FE_DBTC79_asid_csr_ex_0,INV_X1,2
FE_DBTC78_fu_data_id_ex_195,INV_X1,2
FE_DBTC77_ex_stage_i_n_13092,INV_X8,2
FE_DBTC76_flu_trans_id_ex_id_2,INV_X1,2
FE_DBTC75_flu_trans_id_ex_id_1,INV_X2,2
FE_DBTC74_store_exception_ex_id_68,INV_X1,2
FE_DBTC73_store_exception_ex_id_0,INV_X1,2
FE_DBTC72_amo_valid_commit,INV_X1,2
FE_DBTC71_n_412,INV_X1,2
FE_DBTC70_ex_stage_i_n_12230,INV_X1,2
FE_DBTC69_ex_stage_i_alu_i_add_144742_84_n_3,INV_X1,2
FE_DBTC68_ex_stage_i_alu_i_add_144742_84_n_606,INV_X1,2
FE_DBTC67_ex_stage_i_n_13638,INV_X4,2
FE_DBTC66_ex_stage_i_n_13639,INV_X4,2
FE_DBTC65_ex_stage_i_n_13640,INV_X4,2
FE_DBTC64_ex_stage_i_n_13641,INV_X2,2
FE_DBTC63_ex_stage_i_n_13643,INV_X2,2
FE_DBTC62_ex_stage_i_n_13677,INV_X1,2
FE_DBTC61_ex_stage_i_i_mult_i_multiplier_mul_146979_371_n_9761,INV_X1,2
FE_DBTC60_ex_stage_i_n_12975,INV_X4,2
FE_DBTC59_ex_stage_i_n_846,INV_X2,2
FE_DBTC58_ex_stage_i_n_847,INV_X2,2
FE_DBTC57_ex_stage_i_n_2574,INV_X4,2
FE_DBTC56_ex_stage_i_n_977,INV_X1,2
FE_DBTC55_n_24934,INV_X1,2
FE_DBTC54_flush_ctrl_id,INV_X1,2
FE_DBTC53_ex_stage_i_n_5722,INV_X1,2
FE_DBTC52_ex_stage_i_n_5742,INV_X1,2
FE_DBTC51_ex_stage_i_n_13156,INV_X4,2
FE_DBTC50_flush_ctrl_if,INV_X1,2
FE_DBTC49_id_stage_i_n_21,INV_X1,2
FE_DBTC48_issue_stage_i_i_scoreboard_n_4,INV_X1,2
FE_DBTC47_issue_stage_i_i_scoreboard_n_16,INV_X1,2
FE_DBTC46_issue_stage_i_i_scoreboard_n_1150,INV_X1,2
FE_DBTC45_issue_stage_i_i_scoreboard_n_6856,INV_X1,2
FE_DBTC44_issue_stage_i_i_scoreboard_n_8879,INV_X2,2
FE_DBTC43_n_29069,INV_X1,2
FE_DBTC42_n_29082,INV_X1,2
FE_DBTC41_n_29078,INV_X1,2
FE_DBTC40_n_29080,INV_X1,2
FE_DBTC39_n_29075,INV_X1,2
FE_DBTC38_n_29070,INV_X1,2
FE_DBTC37_n_29073,INV_X1,2
FE_DBTC36_n_29067,INV_X1,2
FE_DBTC35_n_29071,INV_X1,2
FE_DBTC34_n_29074,INV_X1,2
FE_DBTC33_n_29081,INV_X1,2
FE_DBTC32_n_29077,INV_X1,2
FE_DBTC31_n_545,INV_X2,2
FE_DBTC30_n_556,INV_X2,2
